match_name,sensitivity,peak_distance,crop_left,crop_right,crop_bottom,crop_top,expanding,score_x,score_y,score_w,score_h,sobel_thresh,minw
djokovic_federer_aus_16,100,50,0,0,0,0,0,0,0,0,0,0.5,0
djokovic_nadal_wim_18,140,50,0,0,0,0,0,0,0,0,0,0.5,0
djokovic_murray_french_16,145,15,0,0,0,0,0,0,0,0,0,0.5,0
federer_nadal_iw_17,140,50,0,0,0,0,0,63,303,150,31,0.7,0
nadal_tsitsipas_barcelona_18,160,50,0,0,0,0,0,63,300,150,32,0.7,0
anderson_federer_wim_18,140,50,0,0,0,0,0,64,17,150,28,0.7,0
haase_zverev_cincinnati_18,140,50,0,0,0,0,0,63,300,150,31,0.7,0
zverev_isner_miami_18,140,50,0,0,0,0,0,63,300,150,32,0.5,0
coric_federer_halle_18,140,50,0,0,0,0,0,62,300,150,31,0.7,108
federer_cilic_aus_18,120,50,0,0,0,0,0,35,310,200,31,0.7,0
osaka_halep_rome_18,100,50,0,0,0,0,0,26,303,200,32,0.5,0
nadal_marterer_french_18,100,50,0,0,0,0,0,26,303,200,32,0.5,0
